               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14324,            0.040851,            0.038706,             0.37377,             0.15424,             0.13776,            0.048335,             0.11653,             0.04073,            0.028289,             0.00048,             0.00048,             0.09568
                   1,             0.11833,            0.043091,            0.017593,             0.72854,             0.22317,              0.2439,             0.14808,             0.10341,            0.030108,            0.019033,          0.00096998,          0.00096998,             0.09127
                   2,             0.11097,            0.036597,            0.010073,             0.44026,             0.45288,             0.26956,             0.06895,             0.10352,            0.026842,            0.015372,           0.0014599,           0.0014599,             0.08686
                   3,              0.1075,            0.030824,           0.0067824,             0.57044,             0.44753,             0.36436,             0.11322,            0.098844,             0.02815,            0.014513,           0.0019496,           0.0019496,             0.08245
                   4,             0.10581,            0.033382,            0.006234,             0.58987,              0.4737,             0.40295,              0.2176,            0.090159,            0.026249,            0.012913,            0.002439,            0.002439,            0.078039
                   5,             0.10406,            0.035519,           0.0056391,             0.56258,             0.55927,             0.36383,             0.15586,            0.091856,            0.030703,            0.011281,           0.0029282,           0.0029282,            0.073628
                   6,             0.10034,            0.033381,           0.0050138,             0.79586,             0.55132,             0.52981,             0.31645,            0.080014,            0.028379,            0.010146,            0.003417,            0.003417,            0.069217
                   7,            0.096958,            0.030662,           0.0044418,             0.63839,             0.58335,             0.46003,             0.15727,            0.085081,            0.029015,             0.00925,           0.0039053,           0.0039053,            0.064805
                   8,            0.094835,            0.029337,           0.0045272,             0.73299,             0.58582,             0.50668,             0.28094,            0.081159,            0.025724,           0.0079941,           0.0043931,           0.0043931,            0.060393
                   9,            0.092617,            0.031791,           0.0044049,             0.78945,             0.61486,             0.53801,             0.35469,            0.077271,            0.026196,           0.0072808,           0.0048802,           0.0048802,             0.05598
                  10,            0.093767,            0.032058,           0.0045787,             0.74864,             0.61964,             0.52828,             0.22974,            0.080852,            0.026937,             0.00841,           0.0053667,           0.0053667,            0.051567
                  11,            0.093966,             0.03057,           0.0043091,             0.67829,             0.61859,             0.45517,             0.26933,            0.083415,            0.024295,           0.0081922,           0.0058525,           0.0058525,            0.047152
                  12,            0.093353,             0.03298,           0.0046197,             0.82547,             0.63367,             0.58753,             0.26821,             0.08053,            0.025553,           0.0067056,           0.0063374,           0.0063374,            0.042737
                  13,            0.087767,            0.029136,           0.0039703,             0.85979,             0.64663,             0.60513,              0.3766,            0.071666,            0.027235,           0.0071432,           0.0068215,           0.0068215,            0.038321
                  14,            0.089543,            0.035289,           0.0045074,             0.84868,             0.63025,             0.57973,             0.33262,            0.073738,             0.02566,           0.0063061,           0.0073046,           0.0073046,            0.033905
                  15,            0.085153,            0.033792,            0.004129,             0.80942,             0.64731,             0.58378,             0.32265,            0.075782,            0.025401,           0.0064675,           0.0077866,           0.0077866,            0.029487
                  16,              0.0846,            0.030935,           0.0041816,              0.8523,             0.63576,             0.59629,             0.34114,            0.070684,            0.026604,           0.0055933,           0.0082676,           0.0082676,            0.025068
                  17,            0.087455,             0.03047,           0.0040195,             0.83893,             0.64103,             0.58323,             0.33872,            0.071326,            0.027185,           0.0063643,           0.0087473,           0.0087473,            0.020647
                  18,            0.086169,            0.034301,           0.0043952,             0.87898,             0.65996,             0.63202,             0.34692,            0.071537,            0.028093,           0.0059154,           0.0092259,           0.0092259,            0.016226
                  19,            0.082883,            0.033368,            0.004093,             0.82523,             0.58758,             0.54655,             0.36682,             0.07367,            0.027126,           0.0052511,           0.0097031,           0.0097031,            0.011803
                  20,            0.083208,            0.032118,           0.0041103,             0.86946,             0.61969,             0.58854,             0.39379,            0.069042,            0.026749,           0.0056211,           0.0099017,           0.0099017,           0.0099017
                  21,             0.08104,            0.034129,           0.0038725,             0.93121,             0.68086,             0.65681,             0.42649,            0.063463,            0.026756,           0.0057873,           0.0099017,           0.0099017,           0.0099017
                  22,            0.079469,            0.037121,           0.0035768,             0.91373,             0.66223,             0.65013,             0.43038,            0.063811,            0.026245,           0.0044556,           0.0098916,           0.0098916,           0.0098916
