               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.062734,             0.03367,          0.00082272,             0.98255,             0.63503,             0.64645,             0.44733,            0.050356,            0.030188,           0.0010917,           0.0097178,           0.0097178,           0.0097178
                  36,            0.063636,            0.035167,          0.00084637,             0.98371,             0.63626,             0.64895,             0.44567,            0.049994,            0.030282,           0.0010607,           0.0097011,           0.0097011,           0.0097011
                  37,            0.063391,            0.034724,          0.00087102,             0.98204,             0.63648,             0.64706,              0.4474,            0.050168,            0.030241,           0.0011102,            0.009684,            0.009684,            0.009684
                  38,            0.062469,            0.032445,          0.00081852,             0.98233,             0.63702,             0.64665,             0.44985,            0.049965,            0.030102,           0.0010532,           0.0096664,           0.0096664,           0.0096664
                  39,            0.061015,            0.032523,          0.00081955,             0.98371,             0.63763,             0.64834,             0.43794,             0.04985,            0.030291,            0.001099,           0.0096484,           0.0096484,           0.0096484
                  40,            0.062225,            0.032874,          0.00076931,             0.98305,             0.63705,             0.64752,             0.44867,            0.049648,            0.029969,           0.0010404,           0.0096299,           0.0096299,           0.0096299
                  41,            0.062245,            0.033212,          0.00083471,             0.98411,             0.63655,              0.6481,             0.45211,            0.049447,             0.03016,            0.001034,            0.009611,            0.009611,            0.009611
                  42,            0.062518,            0.033244,          0.00086098,             0.98412,              0.6356,             0.64736,             0.44631,            0.049868,            0.029891,           0.0011214,           0.0095916,           0.0095916,           0.0095916
                  43,            0.062742,            0.034384,          0.00077584,             0.98256,             0.63765,             0.64621,             0.44748,            0.049684,            0.029852,           0.0010343,           0.0095717,           0.0095717,           0.0095717
                  44,             0.06306,            0.034921,          0.00081699,             0.98453,             0.63707,             0.64747,             0.44227,            0.050045,            0.030031,            0.001086,           0.0095514,           0.0095514,           0.0095514
                  45,            0.061848,            0.033544,          0.00077715,             0.98393,              0.6376,             0.65073,             0.45446,            0.049423,             0.02993,           0.0010411,           0.0095307,           0.0095307,           0.0095307
                  46,            0.062397,            0.034646,          0.00082369,             0.81236,              0.6451,              0.6506,             0.44899,            0.049651,            0.029886,            0.001031,           0.0095095,           0.0095095,           0.0095095
                  47,             0.06211,            0.034277,          0.00082698,              0.8802,             0.64522,              0.6526,             0.45294,            0.049268,            0.029946,           0.0010411,           0.0094879,           0.0094879,           0.0094879
                  48,            0.062778,            0.035105,          0.00086323,             0.79362,             0.64678,             0.65098,             0.45351,            0.049431,            0.030076,           0.0010577,           0.0094659,           0.0094659,           0.0094659
                  49,            0.063353,            0.035179,          0.00081059,             0.98364,             0.63992,              0.6521,             0.45093,            0.049204,             0.02989,           0.0010429,           0.0094434,           0.0094434,           0.0094434
                  50,            0.060749,            0.033358,          0.00081207,              0.9853,             0.63778,             0.65046,             0.45315,            0.049177,            0.029684,           0.0010799,           0.0094205,           0.0094205,           0.0094205
                  51,            0.061971,            0.034078,          0.00080563,             0.72305,             0.65105,             0.65274,             0.45301,            0.049111,            0.029905,           0.0010564,           0.0093971,           0.0093971,           0.0093971
                  52,            0.061315,            0.033898,          0.00078276,             0.98494,             0.63839,              0.6505,             0.45229,            0.049225,             0.02986,           0.0010637,           0.0093733,           0.0093733,           0.0093733
                  53,            0.062072,            0.034413,          0.00080703,             0.98405,             0.63955,             0.65027,             0.45255,            0.048973,            0.030007,           0.0010317,           0.0093491,           0.0093491,           0.0093491
                  54,            0.062611,             0.03423,          0.00086343,              0.9848,             0.63901,             0.65161,             0.45515,            0.049055,            0.029878,           0.0010594,           0.0093245,           0.0093245,           0.0093245
                  55,            0.061925,            0.034279,           0.0008067,              0.9857,             0.64022,             0.65343,             0.45732,            0.048797,            0.029722,          0.00098168,           0.0092995,           0.0092995,           0.0092995
                  56,            0.063814,            0.035305,          0.00070752,             0.72791,             0.64764,             0.65221,             0.45869,            0.048851,            0.029645,          0.00098325,            0.009274,            0.009274,            0.009274
                  57,            0.062159,            0.034012,          0.00079645,             0.83155,             0.64563,             0.65319,             0.45678,             0.04874,            0.029931,           0.0010284,           0.0092481,           0.0092481,           0.0092481
                  58,            0.060373,            0.032708,            0.000801,             0.71633,             0.64997,             0.65298,             0.45992,            0.048533,            0.029696,          0.00099439,           0.0092219,           0.0092219,           0.0092219
                  59,            0.062664,            0.036181,          0.00077427,             0.73385,             0.65168,             0.65539,             0.45686,            0.048759,            0.029829,           0.0010071,           0.0091952,           0.0091952,           0.0091952
                  60,            0.062335,            0.034789,          0.00083464,              0.7388,             0.65179,             0.65377,             0.45854,            0.048639,             0.02958,            0.001017,           0.0091681,           0.0091681,           0.0091681
                  61,            0.061239,            0.034978,          0.00073849,             0.72339,             0.65432,             0.65574,             0.45934,            0.048702,            0.029724,          0.00098065,           0.0091406,           0.0091406,           0.0091406
                  62,             0.06055,            0.033381,          0.00077687,              0.7462,             0.65101,             0.65303,             0.45741,            0.048761,            0.029784,          0.00096467,           0.0091127,           0.0091127,           0.0091127
                  63,            0.061066,            0.033763,          0.00068905,             0.74068,             0.65009,             0.65398,             0.46137,            0.048441,            0.029631,          0.00095842,           0.0090844,           0.0090844,           0.0090844
                  64,            0.061919,            0.035372,          0.00075583,             0.76304,             0.65252,             0.65471,             0.45904,            0.048339,            0.029654,          0.00096294,           0.0090557,           0.0090557,           0.0090557
                  65,            0.060902,            0.033151,          0.00070504,             0.72285,             0.65064,             0.65334,             0.45631,            0.048559,            0.029515,           0.0010061,           0.0090266,           0.0090266,           0.0090266
