               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12749,             0.23285,            0.027879,           0.0021658,             0.02404,           0.0011198,           0.0002405,             0.12374,             0.24496,            0.029489,              0.0001,              0.0001,              0.0991
                   1,             0.12558,             0.26367,            0.027474,           0.0096738,            0.010677,           0.0024515,          0.00055971,             0.12226,             0.25432,            0.028841,          0.00020995,          0.00020995,             0.09811
                   2,             0.12299,             0.26403,            0.027282,            0.010071,            0.037484,           0.0045732,           0.0010526,             0.12119,             0.26075,            0.028096,          0.00031972,          0.00031972,             0.09712
                   3,             0.12149,             0.25339,             0.02699,             0.01465,            0.057341,           0.0067487,           0.0015577,             0.11979,             0.26398,            0.027487,          0.00042914,          0.00042914,            0.096129
                   4,              0.1195,             0.25507,            0.026742,            0.019059,             0.13141,            0.011584,           0.0024158,             0.11836,             0.26551,            0.027025,          0.00053808,          0.00053808,            0.095138
                   5,             0.11885,             0.26344,             0.02634,            0.040673,             0.12608,            0.021682,           0.0045304,             0.11643,             0.26824,            0.026452,           0.0006464,           0.0006464,            0.094146
                   6,             0.11478,             0.22152,            0.026175,            0.048028,             0.14841,            0.026172,           0.0055502,             0.11423,             0.26564,            0.025825,          0.00075394,          0.00075394,            0.093154
                   7,             0.11426,             0.25374,             0.02576,            0.048881,             0.16818,             0.02699,           0.0057225,             0.11309,              0.2912,            0.025418,          0.00086057,          0.00086057,            0.092161
                   8,              0.1181,             0.27432,            0.025463,            0.036045,             0.16013,            0.023008,           0.0047484,             0.11457,             0.33084,             0.02478,          0.00096615,          0.00096615,            0.091166
                   9,             0.10784,             0.23352,            0.025587,            0.051502,             0.17487,            0.033649,           0.0075098,             0.10943,             0.27445,            0.024082,           0.0010705,           0.0010705,            0.090171
                  10,             0.10499,             0.21829,            0.025119,            0.060894,             0.17549,            0.042537,           0.0094067,             0.10425,             0.28479,            0.023492,           0.0011736,           0.0011736,            0.089174
                  11,             0.10591,             0.29082,            0.025278,            0.054528,              0.1636,            0.041675,           0.0086245,              0.1003,             0.35999,            0.023183,           0.0012751,           0.0012751,            0.088175
                  12,             0.10363,             0.30482,            0.025622,            0.064893,             0.20595,            0.047098,           0.0096656,             0.09509,             0.31023,            0.023025,           0.0013751,           0.0013751,            0.087175
                  13,            0.098353,             0.29031,            0.024921,            0.085427,             0.22829,            0.069424,            0.015821,            0.090185,             0.34669,            0.022549,           0.0014734,           0.0014734,            0.086173
                  14,            0.097357,             0.31433,            0.025069,             0.11199,             0.22265,            0.077565,            0.016522,            0.086438,             0.33216,             0.02253,           0.0015698,           0.0015698,             0.08517
                  15,            0.093579,             0.29933,            0.024929,             0.12493,             0.24489,             0.09892,            0.023059,            0.083708,             0.29955,            0.022479,           0.0016642,           0.0016642,            0.084164
                  16,            0.089825,             0.29954,            0.024713,             0.13232,             0.28606,             0.11234,            0.027588,            0.080863,             0.32694,            0.022349,           0.0017565,           0.0017565,            0.083156
                  17,            0.088267,             0.31209,            0.025009,             0.16239,             0.24205,             0.12077,            0.029929,            0.081642,             0.32956,            0.022409,           0.0018465,           0.0018465,            0.082147
                  18,            0.085075,             0.28424,            0.024653,             0.14851,             0.30444,             0.13691,            0.033907,            0.079041,              0.3497,            0.022288,           0.0019343,           0.0019343,            0.081134
                  19,            0.088818,             0.33151,            0.024719,             0.19475,             0.28432,             0.15696,            0.042033,            0.075077,             0.31591,            0.021997,           0.0020196,           0.0020196,             0.08012
