               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17923,            0.025222,                   0,             0.11601,             0.32023,            0.069036,            0.012658,             0.14429,            0.045799,                   0,             0.00145,             0.00145,             0.08695
                   1,             0.14918,            0.039299,                   0,             0.20395,             0.40478,               0.157,            0.028896,             0.12938,            0.056901,                   0,           0.0029099,           0.0029099,             0.07381
                   2,             0.14248,            0.044153,                   0,             0.26595,             0.46368,             0.22762,            0.044141,             0.12272,            0.059943,                   0,           0.0043696,           0.0043696,             0.06067
                   3,             0.13953,            0.047703,                   0,             0.31294,             0.39053,             0.23985,            0.046739,             0.12545,            0.062111,                   0,           0.0058287,           0.0058287,            0.047529
                   4,             0.13791,            0.054733,                   0,             0.55842,              0.5762,             0.51755,             0.13554,             0.11917,            0.061359,                   0,           0.0072871,           0.0072871,            0.034387
                   5,             0.13412,            0.054819,                   0,             0.24602,             0.69866,             0.22772,            0.043391,              0.1167,             0.06553,                   0,           0.0087446,           0.0087446,            0.021245
                   6,             0.13253,            0.055764,                   0,             0.40217,             0.56783,             0.33367,            0.069418,             0.11318,            0.071945,                   0,           0.0099911,           0.0099911,           0.0099911
                   7,             0.12943,            0.064064,                   0,             0.73739,             0.65194,             0.66627,             0.17298,             0.10887,              0.0702,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,             0.12301,            0.064257,                   0,              0.7557,             0.72157,             0.68599,             0.17584,             0.10184,             0.07281,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,             0.12176,            0.067015,                   0,             0.81299,             0.74118,             0.79447,             0.24978,             0.10117,            0.073452,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,             0.11864,            0.065257,                   0,             0.86149,             0.79787,             0.81681,             0.25189,            0.099316,            0.074105,                   0,             0.00998,             0.00998,             0.00998
                  11,             0.11887,            0.068787,                   0,             0.87619,             0.79278,             0.82552,             0.26312,            0.097623,            0.074066,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,             0.11505,             0.06891,                   0,             0.88255,             0.83167,             0.84795,             0.27733,            0.097942,            0.072921,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,             0.11554,               0.069,                   0,             0.85967,             0.80109,             0.81138,             0.24355,            0.097217,            0.074255,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,             0.11503,            0.070503,                   0,             0.90512,             0.84486,             0.87387,             0.29987,             0.09433,             0.07475,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,             0.11357,             0.07031,                   0,             0.88854,             0.81315,             0.83649,              0.2666,             0.09568,            0.075085,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,             0.11523,            0.073028,                   0,             0.87688,              0.8032,             0.82457,              0.2534,            0.096908,            0.073802,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,             0.11158,            0.067708,                   0,             0.89308,             0.82237,             0.84377,             0.27077,            0.096059,            0.073815,                   0,            0.009937,            0.009937,            0.009937
                  18,             0.11398,            0.076755,                   0,             0.87938,             0.81332,             0.84707,             0.27447,            0.095453,            0.073167,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,             0.11233,            0.071774,                   0,             0.88608,             0.79447,              0.8395,             0.27355,             0.09563,            0.073856,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,             0.11299,            0.073166,                   0,             0.91151,             0.84793,             0.89004,             0.31102,            0.094124,            0.073549,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,             0.11222,            0.073149,                   0,             0.84494,             0.77134,             0.80437,             0.26133,            0.095676,            0.086349,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,             0.11198,            0.071855,                   0,             0.90696,             0.83125,             0.87532,             0.30516,            0.093415,            0.073415,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,             0.11037,             0.07135,                   0,              0.9071,             0.85848,             0.88572,             0.30496,            0.092823,            0.073851,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,             0.10998,             0.07185,                   0,             0.92568,              0.8362,             0.89907,             0.32089,            0.093204,            0.072817,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,             0.11246,            0.075484,                   0,             0.90651,             0.82497,             0.85912,              0.2893,            0.097276,            0.074149,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,             0.11159,            0.069717,                   0,             0.89894,             0.81483,             0.85402,             0.28041,             0.09427,            0.074374,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,             0.11066,            0.073838,                   0,             0.92003,             0.80775,              0.8738,              0.3019,            0.093748,            0.073604,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,             0.11072,            0.075394,                   0,             0.92431,             0.84223,             0.88892,             0.31574,            0.092044,            0.074472,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,             0.10957,            0.071911,                   0,             0.91928,             0.84525,             0.89834,              0.3196,             0.09204,            0.072952,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,              0.1092,            0.072396,                   0,             0.94469,             0.86153,             0.90626,             0.33458,            0.092574,            0.072858,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,             0.10756,            0.071291,                   0,              0.9261,             0.87105,             0.90242,             0.32397,            0.090867,            0.074377,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,             0.11125,            0.078567,                   0,             0.92801,             0.84449,             0.89967,             0.32317,            0.091552,            0.073502,                   0,            0.009765,            0.009765,            0.009765
                  33,             0.10928,            0.072857,                   0,             0.92966,             0.85287,             0.90484,             0.32882,            0.092042,            0.073699,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,             0.10649,            0.068418,                   0,             0.93808,             0.84791,             0.90479,             0.33074,            0.092332,            0.073371,                   0,            0.009734,            0.009734,            0.009734
                  35,             0.10538,            0.066511,                   0,             0.90692,             0.86318,             0.90182,             0.31299,            0.091448,            0.074219,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,             0.10561,            0.069703,                   0,             0.93224,             0.85881,             0.90721,             0.32658,            0.091289,            0.073776,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,             0.10979,            0.077224,                   0,             0.92103,              0.8243,             0.88853,             0.30057,            0.092015,            0.073934,                   0,            0.009684,            0.009684,            0.009684
                  38,             0.10861,            0.074067,                   0,             0.93219,             0.86125,               0.919,             0.34433,            0.090362,            0.073994,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,             0.10589,            0.073409,                   0,             0.92818,             0.81366,             0.88884,              0.3205,            0.093371,            0.072977,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,              0.1074,            0.073867,                   0,              0.9243,              0.8579,              0.9101,             0.33032,             0.09066,             0.07421,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,             0.10615,            0.073718,                   0,             0.93137,             0.88865,             0.91809,             0.33646,            0.090043,            0.073826,                   0,            0.009611,            0.009611,            0.009611
                  42,             0.11004,            0.076564,                   0,              0.9298,             0.85873,             0.90387,             0.32666,            0.093076,            0.073533,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,             0.10765,             0.07245,                   0,             0.93081,             0.88034,             0.91615,             0.33313,            0.090287,            0.073701,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,               0.109,            0.076151,                   0,             0.94122,             0.85379,             0.91049,             0.33843,            0.092853,            0.072625,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,             0.10854,            0.076681,                   0,             0.92979,             0.87987,             0.92049,             0.34098,            0.089854,            0.073964,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,              0.1073,            0.072727,                   0,             0.92001,             0.88328,             0.91902,             0.33486,            0.090172,            0.073695,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,             0.10798,            0.076854,                   0,             0.94263,             0.87641,             0.92322,             0.34886,             0.09019,            0.073615,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,             0.10656,            0.076721,                   0,             0.94415,             0.88947,             0.92503,             0.34551,            0.089632,            0.073584,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,             0.10618,            0.073217,                   0,             0.92979,             0.88655,             0.92419,             0.34746,             0.08953,            0.073777,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,             0.10271,            0.068997,                   0,              0.9125,             0.88613,             0.92702,             0.34784,            0.089348,            0.073659,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,             0.10529,            0.072551,                   0,             0.93265,             0.89342,             0.92816,             0.34127,            0.089574,            0.073903,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,             0.10564,            0.070884,                   0,             0.91809,             0.86871,             0.91437,             0.33635,            0.090831,            0.073441,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,              0.1058,            0.074634,                   0,             0.93273,             0.88387,             0.92358,             0.34599,            0.089515,             0.07399,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,             0.10375,            0.069688,                   0,             0.94347,             0.90049,             0.92998,             0.34866,            0.089327,            0.073536,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,             0.10765,             0.07683,                   0,             0.93585,             0.82656,             0.91027,             0.33963,            0.090812,            0.073726,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,             0.10468,            0.073609,                   0,             0.93075,             0.88065,             0.92822,              0.3542,            0.089174,            0.073551,                   0,            0.009274,            0.009274,            0.009274
                  57,             0.10677,            0.078232,                   0,             0.93158,             0.90131,              0.9311,             0.35215,            0.089139,            0.073498,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,             0.10672,            0.077612,                   0,             0.93941,             0.90421,             0.93174,             0.35612,            0.088846,            0.073281,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,             0.10613,            0.078816,                   0,             0.92452,             0.78852,             0.90181,             0.33837,            0.091205,            0.073655,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,             0.11067,            0.073552,                   0,             0.93308,             0.91152,             0.93815,             0.35842,            0.092523,            0.070155,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,              0.1065,            0.072651,                   0,             0.94446,             0.87499,              0.9313,             0.35339,            0.089526,            0.073553,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,             0.10676,            0.075868,                   0,              0.9366,              0.8987,             0.92686,             0.34689,             0.08924,            0.073274,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,             0.10407,            0.072708,                   0,             0.94231,             0.87721,             0.92983,             0.35077,            0.089538,            0.073612,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,             0.10655,            0.077086,                   0,             0.94247,             0.90861,             0.93302,             0.35331,            0.088894,            0.073498,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,             0.10657,            0.073591,                   0,             0.94916,             0.86665,             0.91928,             0.34225,            0.091905,            0.072533,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,             0.10489,            0.072014,                   0,             0.93715,             0.90457,             0.93208,             0.35583,            0.088967,            0.073517,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,             0.10388,             0.07369,                   0,             0.93735,             0.89979,             0.93407,             0.35271,            0.088946,            0.073337,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,             0.10458,            0.075694,                   0,              0.9404,              0.9049,             0.93524,             0.36013,            0.088462,            0.073533,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,             0.10362,            0.074074,                   0,             0.93759,             0.88119,             0.93441,             0.36552,            0.088534,            0.073515,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,             0.10483,            0.075135,                   0,              0.9393,             0.88412,             0.93296,             0.35962,            0.088875,            0.073578,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,              0.1026,            0.073619,                   0,             0.93574,             0.91177,             0.93616,             0.35712,             0.08853,            0.073588,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,             0.10441,             0.07574,                   0,             0.93752,              0.9054,             0.93605,             0.35462,            0.088635,            0.073856,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,             0.10436,            0.072697,                   0,             0.93914,             0.89728,             0.92929,             0.35184,            0.089325,            0.074095,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,             0.10372,            0.074609,                   0,             0.94964,             0.89736,             0.93908,              0.3592,            0.088534,            0.073866,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,             0.10467,            0.075524,                   0,             0.93344,             0.90353,             0.93891,             0.35717,            0.088534,            0.074204,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,             0.10305,            0.072605,                   0,             0.95253,             0.91801,             0.94491,             0.37127,            0.087822,            0.073509,                   0,            0.008682,            0.008682,            0.008682
                  77,             0.10246,             0.07266,                   0,             0.94562,             0.91359,             0.94438,             0.36587,            0.087919,            0.073625,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,             0.10441,            0.075823,                   0,              0.9403,             0.91278,             0.93874,             0.36189,             0.08819,            0.073541,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,             0.10763,            0.077011,                   0,             0.93854,             0.87386,             0.93386,             0.36302,             0.08956,            0.072809,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,             0.10361,             0.07461,                   0,             0.94365,              0.9023,             0.93539,              0.3553,            0.088617,            0.073687,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,             0.10085,            0.071654,                   0,             0.94253,             0.91747,             0.94218,             0.37055,             0.08778,            0.073395,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,             0.10332,            0.072458,                   0,             0.94271,             0.89217,             0.93163,             0.36205,            0.091527,            0.071857,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,             0.10502,            0.074169,                   0,             0.93699,             0.89426,             0.93868,             0.37148,            0.088692,            0.072482,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,             0.10078,            0.071084,                   0,             0.93702,             0.90004,             0.93715,             0.35942,            0.088329,            0.073221,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,             0.10188,             0.07457,                   0,             0.94796,             0.91278,             0.94376,             0.37346,            0.087679,            0.073348,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,             0.10142,            0.071885,                   0,             0.94624,             0.91487,             0.94023,             0.36868,            0.087893,            0.073493,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,             0.10529,            0.075022,                   0,             0.95231,             0.88182,             0.92572,             0.35688,             0.09229,             0.07167,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,             0.10247,            0.072247,                   0,             0.94719,             0.90168,             0.93944,             0.36783,            0.088372,            0.072964,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,             0.10475,             0.07796,                   0,             0.94829,             0.91894,             0.94912,             0.37572,            0.087697,            0.073036,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,             0.10008,            0.069756,                   0,             0.94932,             0.91805,             0.94554,             0.37183,            0.087559,              0.0733,                   0,            0.008183,            0.008183,            0.008183
                  91,             0.10358,            0.077429,                   0,             0.95093,             0.91896,             0.95049,             0.38218,            0.087225,            0.073135,                   0,            0.008145,            0.008145,            0.008145
                  92,             0.10186,            0.073323,                   0,             0.94984,             0.92333,             0.94719,             0.38328,            0.087203,            0.072898,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,             0.10168,            0.071749,                   0,             0.94866,              0.9163,             0.94715,             0.38023,            0.087388,            0.073243,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,             0.10476,            0.079101,                   0,             0.94734,             0.91638,              0.9445,             0.37333,            0.087843,            0.073349,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,              0.1035,            0.076874,                   0,             0.95015,             0.91828,              0.9464,             0.37385,            0.087426,            0.073196,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,             0.10321,            0.076406,                   0,             0.94921,             0.90978,             0.94585,             0.37639,            0.087686,            0.073211,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,             0.10377,            0.077153,                   0,             0.93427,             0.91934,             0.94836,              0.3804,            0.087548,            0.073228,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,             0.10032,            0.070031,                   0,             0.94706,              0.9234,             0.94702,             0.38087,            0.087259,            0.073177,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,              0.1029,            0.074124,                   0,             0.95189,             0.91755,             0.94572,             0.37526,            0.087564,            0.073435,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,             0.10246,            0.074697,                   0,             0.95256,             0.91395,             0.94631,             0.37616,            0.087397,            0.073399,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,             0.10339,            0.074495,                   0,             0.94942,             0.92474,             0.94759,              0.3792,            0.087297,            0.073342,                   0,             0.00775,             0.00775,             0.00775
                 102,             0.10302,            0.075835,                   0,             0.93648,             0.91546,               0.948,             0.37907,            0.087414,            0.073097,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,             0.10102,            0.072636,                   0,             0.94783,             0.92526,             0.95225,             0.38661,            0.087123,             0.07321,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,             0.10192,            0.077029,                   0,              0.9461,             0.92509,             0.94789,             0.38063,            0.087164,              0.0733,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,              0.1032,            0.077894,                   0,             0.94554,             0.92702,              0.9469,             0.37694,             0.08717,            0.073387,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,             0.10136,            0.073905,                   0,              0.9499,             0.92493,             0.94982,              0.3842,            0.086971,            0.073156,                   0,            0.007543,            0.007543,            0.007543
                 107,             0.10122,             0.07693,                   0,             0.95207,             0.92197,             0.94898,             0.38564,            0.086823,            0.073294,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.099144,            0.069434,                   0,               0.943,             0.92867,             0.94977,             0.38056,            0.087128,            0.073291,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,             0.10362,            0.075468,                   0,             0.95895,             0.87164,              0.9369,             0.37538,            0.089552,            0.072751,                   0,            0.007416,            0.007416,            0.007416
                 110,             0.10026,            0.072449,                   0,             0.94283,             0.92484,             0.94606,             0.37997,            0.087249,            0.073452,                   0,           0.0073733,           0.0073733,           0.0073733
