               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12127,            0.030318,           0.0098864,             0.58021,             0.42772,             0.34684,             0.19223,            0.096053,            0.029934,           0.0048182,             0.00313,             0.00313,             0.07183
                   1,             0.10175,            0.029132,           0.0024952,             0.60416,             0.47135,             0.37099,             0.16087,            0.087011,            0.033546,           0.0032527,           0.0062698,           0.0062698,             0.04357
                   2,            0.093636,            0.031338,           0.0021548,             0.75415,              0.4997,             0.44137,             0.25355,            0.076873,            0.033148,           0.0027761,           0.0094091,           0.0094091,            0.015309
                   3,            0.086887,              0.0336,            0.001843,             0.86568,             0.51205,              0.4727,              0.2983,            0.068927,            0.032593,           0.0026109,           0.0099978,           0.0099978,           0.0099978
                   4,            0.079773,            0.034135,           0.0015969,             0.94274,             0.58423,             0.58646,             0.33736,            0.064963,            0.032505,            0.001976,           0.0099978,           0.0099978,           0.0099978
                   5,            0.075631,            0.035138,            0.001425,             0.95843,             0.59574,             0.60436,             0.36504,            0.059841,            0.032055,           0.0017772,           0.0099961,           0.0099961,           0.0099961
                   6,            0.073849,             0.03475,           0.0013457,             0.96221,             0.60314,             0.60988,             0.36759,            0.060482,            0.032455,           0.0017407,           0.0099938,           0.0099938,           0.0099938
                   7,            0.073294,            0.035953,           0.0012854,             0.95728,             0.60587,             0.61166,             0.38831,            0.057223,            0.031847,           0.0015599,           0.0099911,           0.0099911,           0.0099911
                   8,             0.07088,            0.035039,           0.0012545,             0.96655,             0.61446,             0.62266,             0.40115,            0.055162,            0.030775,           0.0017066,           0.0099879,           0.0099879,           0.0099879
                   9,            0.071315,            0.035544,           0.0011816,             0.96696,             0.61426,             0.62168,             0.39584,             0.05513,            0.031458,           0.0014222,           0.0099842,           0.0099842,           0.0099842
                  10,            0.069587,            0.034996,            0.001074,             0.97159,             0.61863,             0.62711,             0.39731,            0.054817,            0.031266,           0.0014644,             0.00998,             0.00998,             0.00998
                  11,            0.070167,            0.035287,           0.0010555,               0.975,             0.61887,             0.63008,             0.38995,            0.054032,             0.03126,           0.0012936,           0.0099753,           0.0099753,           0.0099753
                  12,            0.068236,            0.034216,           0.0010768,             0.97441,             0.62103,             0.62948,             0.42015,            0.053129,            0.030824,           0.0013982,           0.0099702,           0.0099702,           0.0099702
                  13,            0.068232,            0.034291,           0.0010266,             0.97621,             0.62472,             0.63162,             0.40124,            0.054383,             0.03097,           0.0014838,           0.0099645,           0.0099645,           0.0099645
                  14,            0.067741,            0.035447,          0.00099526,             0.97411,             0.62649,              0.6336,             0.41489,            0.053064,            0.030834,           0.0012563,           0.0099584,           0.0099584,           0.0099584
                  15,            0.067438,            0.034667,           0.0010135,             0.97443,              0.6268,             0.63479,             0.40492,            0.052659,            0.030794,           0.0013502,           0.0099517,           0.0099517,           0.0099517
                  16,            0.064982,            0.032075,          0.00097884,             0.97659,             0.62531,             0.63444,             0.42752,            0.052374,            0.030962,           0.0012518,           0.0099446,           0.0099446,           0.0099446
                  17,              0.0681,            0.036919,          0.00099813,             0.97789,             0.62749,             0.63702,             0.42369,            0.052463,            0.030716,           0.0012494,            0.009937,            0.009937,            0.009937
                  18,            0.065692,            0.034727,          0.00094488,              0.9808,             0.62766,             0.63803,             0.41619,             0.05219,            0.030889,           0.0013351,           0.0099289,           0.0099289,           0.0099289
                  19,            0.066093,            0.035662,          0.00095979,             0.97604,             0.63049,             0.63809,             0.41942,            0.052014,            0.030689,           0.0011322,           0.0099203,           0.0099203,           0.0099203
                  20,            0.065238,             0.03455,           0.0010135,             0.97913,             0.63096,             0.63936,             0.43093,            0.051506,            0.030447,           0.0011733,           0.0099112,           0.0099112,           0.0099112
                  21,             0.06643,            0.035686,          0.00092136,             0.97758,             0.62911,             0.63974,              0.4381,            0.051388,             0.03089,           0.0011676,           0.0099017,           0.0099017,           0.0099017
                  22,            0.066649,            0.035874,          0.00088948,              0.9798,             0.62854,             0.63787,             0.41871,            0.052204,            0.030651,           0.0011328,           0.0098916,           0.0098916,           0.0098916
                  23,             0.06431,            0.033052,          0.00088621,             0.97656,               0.628,             0.63511,             0.40967,            0.053053,            0.030764,           0.0012268,           0.0098811,           0.0098811,           0.0098811
                  24,            0.064636,            0.034111,          0.00089579,             0.98164,             0.63106,             0.64116,             0.42948,            0.051114,            0.030434,           0.0011851,           0.0098701,           0.0098701,           0.0098701
